date,department,program of study,year of study,overall quality of education,accessibility of college resources,effectiveness of communication channels,quality of campus facilities,likelihood to recommend the college,satisfaction with extracurricular activities,support provided by academic advisors,promotion of diversity and inclusion,effectiveness of career services,satisfaction with IT support,greatest strength,areas needing improvement,positive experience with professor/staff,additional resources or support desired,suggestions for enhancing student engagement
2023-05-27,Technical,Software Engineering,2.2,5,1,2,4,4,3,2,1,5,4,Great opportunities for practical learning and internships.,More diverse extracurricular activities are needed.,The staff at the IT helpdesk was incredibly supportive during my project.,Better mental health support services.,More student-led clubs and activities would boost engagement.
2023-04-18,Technical,Telecommunication,2.1,4,4,3,3,4,2,3,3,2,4,Well-maintained library and excellent resources.,Need for more modern and updated classroom facilities.,The librarian was extremely helpful in finding specific research materials.,More frequent career counseling sessions.,More student-led clubs and activities would boost engagement.
2023-05-30,Technical,Computer Networking,1.2,2,3,5,3,2,3,5,4,4,4,Strong academic curriculum and supportive faculty.,Better coordination in scheduling exams and assignments.,A faculty member guided me towards an internship opportunity that shaped my career.,Additional workshops on modern technologies and tools.,Regular town hall meetings to discuss student concerns.
2023-08-04,Technical,Software Engineering,1.2,1,1,4,3,5,1,5,1,2,4,Supportive career services and guidance.,Improvement in Wi-Fi connectivity across the campus.,The librarian was extremely helpful in finding specific research materials.,Increased access to online learning materials.,More student-led clubs and activities would boost engagement.
2023-09-04,Technical,Software Engineering,1.2,2,3,4,4,4,2,3,2,5,5,Well-maintained library and excellent resources.,More diverse extracurricular activities are needed.,A faculty member guided me towards an internship opportunity that shaped my career.,More frequent career counseling sessions.,Increased collaboration opportunities between departments.
2023-02-12,Technical,Computer Networking,2.2,3,3,4,2,1,5,1,3,3,2,Strong academic curriculum and supportive faculty.,Improvement in Wi-Fi connectivity across the campus.,My academic advisor was always available and provided great guidance.,More frequent career counseling sessions.,Frequent cultural and diversity events.
2023-02-10,Business,Software Engineering,3.2,2,5,3,5,4,5,4,1,2,4,Good emphasis on technology and innovation.,Need for more modern and updated classroom facilities.,The staff at the IT helpdesk was incredibly supportive during my project.,More frequent career counseling sessions.,Frequent cultural and diversity events.
2023-05-30,Business,Telecommunication,2.2,4,2,5,4,1,4,1,1,4,5,Strong academic curriculum and supportive faculty.,More diverse extracurricular activities are needed.,A faculty member guided me towards an internship opportunity that shaped my career.,More study spaces during exam periods would be helpful.,Regular town hall meetings to discuss student concerns.
2023-01-28,Business,Software Engineering,1.2,4,4,5,4,3,3,4,4,3,5,Supportive career services and guidance.,Better communication between departments.,The staff at the IT helpdesk was incredibly supportive during my project.,Better mental health support services.,Frequent cultural and diversity events.
2023-01-09,Technical,Data Science,3.1,5,4,1,1,3,4,2,3,1,1,Supportive career services and guidance.,Better coordination in scheduling exams and assignments.,Professor Smith helped me grasp difficult concepts in networking.,Better mental health support services.,Regular town hall meetings to discuss student concerns.
